CAS  RN	Name	PMT-score	PMT-score Classification	PMT-score Explanation	P-score	P-score Classification	P-score Explanation	M-score	M-score Classification	M-score Explanation	T-score	T-score Classification	T-score Explanation
85509-19-9	Flusilazole	0.62	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.89	Very High	This P-score is based on an aquatic environmental half-life of 199.6 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.33	High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3 estimated using the KocWIN model of EPISuite™ version 4.1.	0.81	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
85535-84-8	Representing chlorinated paraffins, C10-C13	0.15	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.04	Low to moderate	This P-score is based on an aquatic environmental half-life of 9.8 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.13	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 4.7 estimated using the KocWIN model of EPISuite™ version 4.1.	0.64	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
85-68-7	Benzyl butyl phthalate	0.19	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.06	Low to moderate	This P-score is based on an aquatic environmental half-life of 12.5 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.27	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.4 estimated using the KocWIN model of EPISuite™ version 4.1.	0.42	High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
86-73-7	Fluorene	0.30	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.18	Low to moderate	This P-score is based on an aquatic environmental half-life of 24.8 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.24	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.6 estimated using the KocWIN model of EPISuite™ version 4.1.	0.61	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
872-50-4	N-Methyl-2-pyrrolidone	0.36	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.11	Low to moderate	This P-score is based on an aquatic environmental half-life of 17.8 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.72	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 0.7 estimated using the KocWIN model of EPISuite™ version 4.1.	0.57	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
87-61-6	1,2,3-Trichlorobenzene	0.49	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.60	Very High	This P-score is based on an aquatic environmental half-life of 76.7 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.29	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.3 estimated using the KocWIN model of EPISuite™ version 4.1.	0.66	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
87-68-3	Hexachloro-1,3-butadiene	0.49	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.92	Very High	This P-score is based on an aquatic environmental half-life of 244.7 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.18	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 4.1 estimated using the KocWIN model of EPISuite™ version 4.1.	0.68	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
87-86-5	Pentachlorophenol	0.48	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.90	Very High	This P-score is based on an aquatic environmental half-life of 221.9 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.19	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 4.1 estimated using the KocWIN model of EPISuite™ version 4.1.	0.65	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
88-72-2	2-Nitrotoluene	0.46	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.24	Low to moderate	This P-score is based on an aquatic environmental half-life of 30.5 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.43	High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 2.4 estimated using the KocWIN model of EPISuite™ version 4.1.	0.96	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
88-85-7	Dinoseb	0.46	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.49	High	This P-score is based on an aquatic environmental half-life of 59.3 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.26	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.5 estimated using the KocWIN model of EPISuite™ version 4.1.	0.74	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
