CAS  RN	Name	PMT-score	PMT-score Classification	PMT-score Explanation	P-score	P-score Classification	P-score Explanation	M-score	M-score Classification	M-score Explanation	T-score	T-score Classification	T-score Explanation
101-77-9	4,4'-Diaminobiphenyl methane	0.57	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.41	High	This P-score is based on an aquatic environmental half-life of 48.2 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.54	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 1.8 estimated using the KocWIN model of EPISuite™ version 4.1.	0.83	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
101-80-4	4,4'-Oxydianiline	0.59	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.40	High	This P-score is based on an aquatic environmental half-life of 47.1 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.55	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 1.7 estimated using the KocWIN model of EPISuite™ version 4.1.	0.95	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
1024-57-3	Heptachlor epoxide	0.58	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	1.00	Very High	This P-score is based on an aquatic environmental half-life of 2101.9 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.25	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.6 estimated using the KocWIN model of EPISuite™ version 4.1.	0.80	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
104-40-5	4-Nonylphenol	0.23	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.09	Low to moderate	This P-score is based on an aquatic environmental half-life of 15.7 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.17	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 4.3 estimated using the KocWIN model of EPISuite™ version 4.1.	0.79	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
105024-66-6	Silafluofen	0.35	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.88	Very High	This P-score is based on an aquatic environmental half-life of 187.6 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.08	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 5.6 estimated using the KocWIN model of EPISuite™ version 4.1.	0.63	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
10605-21-7	Carbendazim	0.44	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.19	Low to moderate	This P-score is based on an aquatic environmental half-life of 26.2 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.49	High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 2.1 estimated using the KocWIN model of EPISuite™ version 4.1.	0.91	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
106-47-8	4-Chloroaniline	0.50	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.29	Low to moderate	This P-score is based on an aquatic environmental half-life of 35.3 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.51	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 1.9 estimated using the KocWIN model of EPISuite™ version 4.1.	0.84	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
106-89-8	Epichlorohydrin	0.46	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.16	Low to moderate	This P-score is based on an aquatic environmental half-life of 22.3 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.65	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 1.1 estimated using the KocWIN model of EPISuite™ version 4.1.	0.95	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
106-91-2	Glycidyl methacrylate	0.37	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.09	Low to moderate	This P-score is based on an aquatic environmental half-life of 15 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.63	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 1.2 estimated using the KocWIN model of EPISuite™ version 4.1.	0.95	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
106-93-4	1,2-Dibromoethane	0.42	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.14	Low to moderate	This P-score is based on an aquatic environmental half-life of 21 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.55	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 1.7 estimated using the KocWIN model of EPISuite™ version 4.1.	0.94	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
106-94-5	1-Bromopropane	0.37	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.10	Low to moderate	This P-score is based on an aquatic environmental half-life of 16.8 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.53	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 1.8 estimated using the KocWIN model of EPISuite™ version 4.1.	0.95	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
107-06-2	1,2-Dichloroethane	0.52	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.25	Low to moderate	This P-score is based on an aquatic environmental half-life of 31.5 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.62	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 1.3 estimated using the KocWIN model of EPISuite™ version 4.1.	0.93	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
107-13-1	Acrylonitrile	0.34	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.09	Low to moderate	This P-score is based on an aquatic environmental half-life of 15.5 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.59	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 1.5 estimated using the KocWIN model of EPISuite™ version 4.1.	0.71	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
1072-63-5	1H-Imidazole, 1-ethenyl-	0.25	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.09	Low to moderate	This P-score is based on an aquatic environmental half-life of 15.7 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.53	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 1.9 estimated using the KocWIN model of EPISuite™ version 4.1.	0.34	High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
