CAS  RN	Name	PMT-score	PMT-score Classification	PMT-score Explanation	P-score	P-score Classification	P-score Explanation	M-score	M-score Classification	M-score Explanation	T-score	T-score Classification	T-score Explanation
924-42-5	N-Methylolacrylamide	0.35	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.07	Low to moderate	This P-score is based on an aquatic environmental half-life of 13.2 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.85	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of -0.5 estimated using the KocWIN model of EPISuite™ version 4.1.	0.70	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
92-87-5	Benzidine	0.54	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.33	High	This P-score is based on an aquatic environmental half-life of 39.2 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.56	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 1.6 estimated using the KocWIN model of EPISuite™ version 4.1.	0.87	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
94-26-8	Butylparaben	0.20	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.04	Low to moderate	This P-score is based on an aquatic environmental half-life of 9.2 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.33	High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3 estimated using the KocWIN model of EPISuite™ version 4.1.	0.65	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
94361-06-5	Cyproconazole	0.62	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.64	Very High	This P-score is based on an aquatic environmental half-life of 83.4 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.47	High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 2.2 estimated using the KocWIN model of EPISuite™ version 4.1.	0.81	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
95-13-6	Indene	0.21	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.13	Low to moderate	This P-score is based on an aquatic environmental half-life of 20 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.41	High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 2.5 estimated using the KocWIN model of EPISuite™ version 4.1.	0.17	Low to moderate	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
95-53-4	2-Methylaniline	0.46	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.18	Low to moderate	This P-score is based on an aquatic environmental half-life of 25 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.56	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 1.6 estimated using the KocWIN model of EPISuite™ version 4.1.	0.93	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
95-80-7	2,4-Diaminotoluene	0.56	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.28	Low to moderate	This P-score is based on an aquatic environmental half-life of 34.8 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.67	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 1 estimated using the KocWIN model of EPISuite™ version 4.1.	0.92	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
959-98-8	Endosulfan I	0.57	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	1.00	Very High	This P-score is based on an aquatic environmental half-life of 1590.2 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.30	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.2 estimated using the KocWIN model of EPISuite™ version 4.1.	0.61	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
96-09-3	Styrene oxide	0.36	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.10	Low to moderate	This P-score is based on an aquatic environmental half-life of 17.1 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.55	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 1.7 estimated using the KocWIN model of EPISuite™ version 4.1.	0.83	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
96-12-8	1,2-Dibromo-3-chloropropane	0.49	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.30	Low to moderate	This P-score is based on an aquatic environmental half-life of 36.3 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.40	High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 2.6 estimated using the KocWIN model of EPISuite™ version 4.1.	0.96	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
96-13-9	2,3-Dibromopropanol	0.40	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.11	Low to moderate	This P-score is based on an aquatic environmental half-life of 17.5 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.66	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 1 estimated using the KocWIN model of EPISuite™ version 4.1.	0.91	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
96-18-4	1,2,3-Trichloropropane	0.60	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.46	High	This P-score is based on an aquatic environmental half-life of 54.5 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.51	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 2 estimated using the KocWIN model of EPISuite™ version 4.1.	0.94	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
96-23-1	1,3-Dichloro-2-propanol	0.49	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.20	Low to moderate	This P-score is based on an aquatic environmental half-life of 26.3 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.68	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 0.9 estimated using the KocWIN model of EPISuite™ version 4.1.	0.86	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
96-29-7	2-Butanone oxime	0.28	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.09	Low to moderate	This P-score is based on an aquatic environmental half-life of 15.2 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.73	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 0.5 estimated using the KocWIN model of EPISuite™ version 4.1.	0.34	High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
96-45-7	Ethylene thiourea	0.40	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.11	Low to moderate	This P-score is based on an aquatic environmental half-life of 18.1 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.69	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 0.8 estimated using the KocWIN model of EPISuite™ version 4.1.	0.81	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
97416-84-7	1,1'-(isopropylidene)bis[3,5-dibromo-4-(2,3-dibromo-2-methylpropoxy)benzene]	0.22	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	1.00	Very High	This P-score is based on an aquatic environmental half-life of 6914.5 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.02	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 7.9 estimated using the KocWIN model of EPISuite™ version 4.1.	0.61	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
