CAS  RN	Name	PMT-score	PMT-score Classification	PMT-score Explanation	P-score	P-score Classification	P-score Explanation	M-score	M-score Classification	M-score Explanation	T-score	T-score Classification	T-score Explanation
111-41-1	N-(Hydroxyethyl)ethylenediamine	0.32	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.06	Low to moderate	This P-score is based on an aquatic environmental half-life of 11.5 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.93	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of -1.8 estimated using the KocWIN model of EPISuite™ version 4.1.	0.64	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
111-77-3	Diethylene glycol monomethyl ether	0.35	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.07	Low to moderate	This P-score is based on an aquatic environmental half-life of 13.3 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.83	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of -0.3 estimated using the KocWIN model of EPISuite™ version 4.1.	0.71	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
111-96-6	Diethylene glycol dimethyl ether	0.41	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.13	Low to moderate	This P-score is based on an aquatic environmental half-life of 19.7 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.74	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 0.5 estimated using the KocWIN model of EPISuite™ version 4.1.	0.69	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
1120-71-4	1,3-Propane sultone	0.39	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.11	Low to moderate	This P-score is based on an aquatic environmental half-life of 17.7 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.68	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 0.9 estimated using the KocWIN model of EPISuite™ version 4.1.	0.79	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
112-49-2	Triethylene glycol dimethyl ether	0.47	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.17	Low to moderate	This P-score is based on an aquatic environmental half-life of 24.2 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.78	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 0.1 estimated using the KocWIN model of EPISuite™ version 4.1.	0.74	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
115-29-7	Endosulfan	0.57	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	1.00	Very High	This P-score is based on an aquatic environmental half-life of 1590.2 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.30	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.2 estimated using the KocWIN model of EPISuite™ version 4.1.	0.61	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
115-32-2	Dicofol	0.56	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.99	Very High	This P-score is based on an aquatic environmental half-life of 730.1 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.29	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.3 estimated using the KocWIN model of EPISuite™ version 4.1.	0.62	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
115-96-8	Tris(2-chloroethyl) phosphate	0.63	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.58	Very High	This P-score is based on an aquatic environmental half-life of 73.2 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.53	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 1.8 estimated using the KocWIN model of EPISuite™ version 4.1.	0.83	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
116-14-3	Tetrafluoroethylene	0.30	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.10	Low to moderate	This P-score is based on an aquatic environmental half-life of 16.1 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.66	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 1 estimated using the KocWIN model of EPISuite™ version 4.1.	0.42	High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
1163-19-5	1,1'-Oxybis[2,3,4,5,6-pentabromobenzene]	0.23	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	1.00	Very High	This P-score is based on an aquatic environmental half-life of 10409.4 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.02	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 7.7 estimated using the KocWIN model of EPISuite™ version 4.1.	0.67	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
