CAS  RN	Name	PMT-score	PMT-score Classification	PMT-score Explanation	P-score	P-score Classification	P-score Explanation	M-score	M-score Classification	M-score Explanation	T-score	T-score Classification	T-score Explanation
294-62-2	Cyclododecane	0.04	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.15	Low to moderate	This P-score is based on an aquatic environmental half-life of 21.6 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.09	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 5.3 estimated using the KocWIN model of EPISuite™ version 4.1.	0.00	Low to moderate	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
2991-50-6	2-(N-Ethylperfluorooctanesulfonamido)acetic acid	0.43	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	1.00	Very High	This P-score is based on an aquatic environmental half-life of 3158.7 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.23	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.7 estimated using the KocWIN model of EPISuite™ version 4.1.	0.33	High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
3033-77-0	Glycidyl trimethylammonium chloride	0.43	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.11	Low to moderate	This P-score is based on an aquatic environmental half-life of 17.7 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.80	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 0 estimated using the KocWIN model of EPISuite™ version 4.1.	0.91	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
307-35-7	Perfluorooctanesulfonyl fluoride	0.39	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	1.00	Very High	This P-score is based on an aquatic environmental half-life of 4495.5 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.09	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 5.4 estimated using the KocWIN model of EPISuite™ version 4.1.	0.71	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
307-55-1	Perfluorododecanoic acid	0.47	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	1.00	Very High	This P-score is based on an aquatic environmental half-life of 12380.7 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.17	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 4.3 estimated using the KocWIN model of EPISuite™ version 4.1.	0.61	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
309-00-2	Aldrin	0.36	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.99	Very High	This P-score is based on an aquatic environmental half-life of 1326.9 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.07	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 5.6 estimated using the KocWIN model of EPISuite™ version 4.1.	0.61	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
3121-61-7	2-Methoxyethyl acrylate	0.31	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.08	Low to moderate	This P-score is based on an aquatic environmental half-life of 14.2 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.65	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 1.1 estimated using the KocWIN model of EPISuite™ version 4.1.	0.57	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
319-84-6	alpha-1,2,3,4,5,6-Hexachlorocyclohexane	0.54	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.93	Very High	This P-score is based on an aquatic environmental half-life of 278.6 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.25	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.6 estimated using the KocWIN model of EPISuite™ version 4.1.	0.66	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
319-85-7	beta-Hexachlorocyclohexane	0.54	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.93	Very High	This P-score is based on an aquatic environmental half-life of 278.6 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.25	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.6 estimated using the KocWIN model of EPISuite™ version 4.1.	0.66	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
319-86-8	delta-Hexachlorocyclohexane	0.54	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.93	Very High	This P-score is based on an aquatic environmental half-life of 278.6 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.25	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.6 estimated using the KocWIN model of EPISuite™ version 4.1.	0.66	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
