CAS  RN	Name	PMT-score	PMT-score Classification	PMT-score Explanation	P-score	P-score Classification	P-score Explanation	M-score	M-score Classification	M-score Explanation	T-score	T-score Classification	T-score Explanation
218-01-9	Chrysene	0.43	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.80	Very High	This P-score is based on an aquatic environmental half-life of 133.3 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.11	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 5 estimated using the KocWIN model of EPISuite™ version 4.1.	0.92	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
21850-44-2	Tetrabromobisphenol A-bis(2,3-dibromopropyl ether)	0.25	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	1.00	Very High	This P-score is based on an aquatic environmental half-life of 2678.2 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.02	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 7.4 estimated using the KocWIN model of EPISuite™ version 4.1.	0.69	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
2385-85-5	Mirex	0.33	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	1.00	Very High	This P-score is based on an aquatic environmental half-life of 397541.8 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.06	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 6 estimated using the KocWIN model of EPISuite™ version 4.1.	0.61	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
24280-93-1	Mycophenolic acid	0.32	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.14	Low to moderate	This P-score is based on an aquatic environmental half-life of 20.9 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.39	High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 2.6 estimated using the KocWIN model of EPISuite™ version 4.1.	0.61	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
24602-86-6	Tridemorph	0.34	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.29	Low to moderate	This P-score is based on an aquatic environmental half-life of 35.3 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.17	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 4.3 estimated using the KocWIN model of EPISuite™ version 4.1.	0.78	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
25154-52-3	Representing nonylphenol	0.23	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.09	Low to moderate	This P-score is based on an aquatic environmental half-life of 15.7 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.17	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 4.3 estimated using the KocWIN model of EPISuite™ version 4.1.	0.79	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
25973-55-1	2-(2H-Benzotriazol-2-yl)-4,6-bis(1,1-dimethylpropyl)phenol	0.29	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.70	Very High	This P-score is based on an aquatic environmental half-life of 97.7 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.10	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 5.2 estimated using the KocWIN model of EPISuite™ version 4.1.	0.33	High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
26040-51-7	Bis(2-ethylhexyl) tetrabromophthalate	0.19	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.75	Very High	This P-score is based on an aquatic environmental half-life of 114.8 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.02	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 7.4 estimated using the KocWIN model of EPISuite™ version 4.1.	0.42	High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
260-94-6	Acridine	0.36	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.16	Low to moderate	This P-score is based on an aquatic environmental half-life of 22.7 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.34	High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3 estimated using the KocWIN model of EPISuite™ version 4.1.	0.85	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
2687-91-4	1-Ethyl-2-pyrrolidinone	0.37	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.12	Low to moderate	This P-score is based on an aquatic environmental half-life of 19 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.69	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 0.9 estimated using the KocWIN model of EPISuite™ version 4.1.	0.58	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
