CAS  RN	Name	PMT-score	PMT-score Classification	PMT-score Explanation	P-score	P-score Classification	P-score Explanation	M-score	M-score Classification	M-score Explanation	T-score	T-score Classification	T-score Explanation
1582-09-8	Trifluralin	0.51	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.96	Very High	This P-score is based on an aquatic environmental half-life of 385.2 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.17	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 4.3 estimated using the KocWIN model of EPISuite™ version 4.1.	0.79	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
16118-49-3	Carbetamide	0.46	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.27	Low to moderate	This P-score is based on an aquatic environmental half-life of 33.8 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.55	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 1.7 estimated using the KocWIN model of EPISuite™ version 4.1.	0.63	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
1763-23-1	Perfluorooctanesulfonic acid	0.53	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	1.00	Very High	This P-score is based on an aquatic environmental half-life of 3061.7 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.27	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.4 estimated using the KocWIN model of EPISuite™ version 4.1.	0.55	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
191-24-2	Benzo(g,h,i)perylene	0.37	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.85	Very High	This P-score is based on an aquatic environmental half-life of 163.9 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.07	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 5.8 estimated using the KocWIN model of EPISuite™ version 4.1.	0.92	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
192-97-2	Benzo(e)pyrene	0.39	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.82	Very High	This P-score is based on an aquatic environmental half-life of 147.8 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.08	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 5.6 estimated using the KocWIN model of EPISuite™ version 4.1.	0.96	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
193-39-5	Indeno(1,2,3-cd)pyrene	0.35	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.85	Very High	This P-score is based on an aquatic environmental half-life of 163.9 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.07	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 5.8 estimated using the KocWIN model of EPISuite™ version 4.1.	0.79	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
19438-60-9	4-Methyl-1,2-cyclohexanedicarboxylic anhydride	0.29	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.15	Low to moderate	This P-score is based on an aquatic environmental half-life of 21.6 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.52	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 1.9 estimated using the KocWIN model of EPISuite™ version 4.1.	0.33	High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
20325-40-0	3,3'-Dimethoxybenzidine dihydrochloride	0.62	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.44	High	This P-score is based on an aquatic environmental half-life of 51.6 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.62	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 1.3 estimated using the KocWIN model of EPISuite™ version 4.1.	0.89	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
2058-94-8	Perfluoroundecanoic acid	0.50	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	1.00	Very High	This P-score is based on an aquatic environmental half-life of 6596.9 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.21	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.9 estimated using the KocWIN model of EPISuite™ version 4.1.	0.61	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
205-99-2	Benzo(b)fluoranthene	0.42	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.82	Very High	This P-score is based on an aquatic environmental half-life of 147.8 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.11	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 5 estimated using the KocWIN model of EPISuite™ version 4.1.	0.79	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
