CAS  RN	Name	PMT-score	PMT-score Classification	PMT-score Explanation	P-score	P-score Classification	P-score Explanation	M-score	M-score Classification	M-score Explanation	T-score	T-score Classification	T-score Explanation
7439-92-1	Lead	0.39	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.19	Low to moderate	This P-score is based on an aquatic environmental half-life of 25.6 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.72	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 0.6 estimated using the KocWIN model of EPISuite™ version 4.1.	0.44	High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
7439-97-6	Mercury	0.41	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.18	Low to moderate	This P-score is based on an aquatic environmental half-life of 24.9 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.73	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 0.5 estimated using the KocWIN model of EPISuite™ version 4.1.	0.51	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
7440-02-0	Nickel	0.30	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.07	Low to moderate	This P-score is based on an aquatic environmental half-life of 13.5 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.85	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of -0.5 estimated using the KocWIN model of EPISuite™ version 4.1.	0.44	High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
7440-38-2	Arsenic	0.31	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.08	Low to moderate	This P-score is based on an aquatic environmental half-life of 14.7 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.73	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 0.6 estimated using the KocWIN model of EPISuite™ version 4.1.	0.51	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
7440-41-7	Beryllium	0.27	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.05	Low to moderate	This P-score is based on an aquatic environmental half-life of 10.9 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.85	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of -0.5 estimated using the KocWIN model of EPISuite™ version 4.1.	0.44	High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
7440-43-9	Cadmium	0.33	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.10	Low to moderate	This P-score is based on an aquatic environmental half-life of 17 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.81	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of -0.1 estimated using the KocWIN model of EPISuite™ version 4.1.	0.44	High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
7440-48-4	Cobalt	0.31	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.07	Low to moderate	This P-score is based on an aquatic environmental half-life of 13.5 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.78	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 0.2 estimated using the KocWIN model of EPISuite™ version 4.1.	0.51	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
75-01-4	Vinyl chloride	0.40	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.13	Low to moderate	This P-score is based on an aquatic environmental half-life of 19.2 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.60	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 1.4 estimated using the KocWIN model of EPISuite™ version 4.1.	0.86	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
75-07-0	Acetaldehyde	0.28	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.06	Low to moderate	This P-score is based on an aquatic environmental half-life of 12.1 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.74	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 0.5 estimated using the KocWIN model of EPISuite™ version 4.1.	0.48	High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
75-12-7	Formamide	0.36	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.08	Low to moderate	This P-score is based on an aquatic environmental half-life of 14.1 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.82	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of -0.1 estimated using the KocWIN model of EPISuite™ version 4.1.	0.72	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
