CAS  RN	Name	PMT-score	PMT-score Classification	PMT-score Explanation	P-score	P-score Classification	P-score Explanation	M-score	M-score Classification	M-score Explanation	T-score	T-score Classification	T-score Explanation
78-79-5	Isoprene	0.26	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.08	Low to moderate	This P-score is based on an aquatic environmental half-life of 14 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.48	High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 2.1 estimated using the KocWIN model of EPISuite™ version 4.1.	0.50	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
78-87-5	1,2-Dichloropropane	0.52	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.27	Low to moderate	This P-score is based on an aquatic environmental half-life of 33.5 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.55	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 1.7 estimated using the KocWIN model of EPISuite™ version 4.1.	0.96	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
789-02-6	o,p'-DDT	0.29	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.98	Very High	This P-score is based on an aquatic environmental half-life of 521.4 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.06	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 5.9 estimated using the KocWIN model of EPISuite™ version 4.1.	0.42	High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
79-01-6	Trichloroethylene	0.55	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.43	High	This P-score is based on an aquatic environmental half-life of 50.8 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.48	High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 2.1 estimated using the KocWIN model of EPISuite™ version 4.1.	0.80	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
79-06-1	Acrylamide	0.40	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.09	Low to moderate	This P-score is based on an aquatic environmental half-life of 15.8 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.73	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 0.6 estimated using the KocWIN model of EPISuite™ version 4.1.	0.92	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
79-16-3	N-Methylacetamide	0.39	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.09	Low to moderate	This P-score is based on an aquatic environmental half-life of 16 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.76	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 0.3 estimated using the KocWIN model of EPISuite™ version 4.1.	0.82	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
793-24-8	N-(1,3-Dimethylbutyl)-N'-phenyl-p-phenylenediamine	0.34	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.46	High	This P-score is based on an aquatic environmental half-life of 54 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.27	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.4 estimated using the KocWIN model of EPISuite™ version 4.1.	0.33	High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
79-44-7	Dimethylcarbamoyl chloride	0.40	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.10	Low to moderate	This P-score is based on an aquatic environmental half-life of 16.7 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.77	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 0.3 estimated using the KocWIN model of EPISuite™ version 4.1.	0.85	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
79-46-9	2-Nitropropane	0.32	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.09	Low to moderate	This P-score is based on an aquatic environmental half-life of 15.4 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.56	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 1.7 estimated using the KocWIN model of EPISuite™ version 4.1.	0.63	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
79-94-7	3,3',5,5'-Tetrabromobisphenol A	0.37	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.96	Very High	This P-score is based on an aquatic environmental half-life of 383.2 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.10	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 5.2 estimated using the KocWIN model of EPISuite™ version 4.1.	0.56	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
