CAS  RN	Name	PMT-score	PMT-score Classification	PMT-score Explanation	P-score	P-score Classification	P-score Explanation	M-score	M-score Classification	M-score Explanation	T-score	T-score Classification	T-score Explanation
39300-45-3	Representing dinocap	0.37	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.41	High	This P-score is based on an aquatic environmental half-life of 48 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.14	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 4.6 estimated using the KocWIN model of EPISuite™ version 4.1.	0.90	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
465-73-6	Isodrin	0.36	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.99	Very High	This P-score is based on an aquatic environmental half-life of 1326.9 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.07	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 5.6 estimated using the KocWIN model of EPISuite™ version 4.1.	0.61	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
470-90-6	Chlorfenvinphos	0.62	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.75	Very High	This P-score is based on an aquatic environmental half-life of 114.8 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.36	High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 2.8 estimated using the KocWIN model of EPISuite™ version 4.1.	0.86	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
4904-61-4	1,5,9-Cyclododecatriene	0.16	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.14	Low to moderate	This P-score is based on an aquatic environmental half-life of 21.1 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.13	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 4.8 estimated using the KocWIN model of EPISuite™ version 4.1.	0.21	Low to moderate	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
50-00-0	Formaldehyde	0.23	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.06	Low to moderate	This P-score is based on an aquatic environmental half-life of 11.4 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.68	Very High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 0.9 estimated using the KocWIN model of EPISuite™ version 4.1.	0.34	High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
50-29-3	Dichlorodiphenyltrichloroethane	0.34	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.98	Very High	This P-score is based on an aquatic environmental half-life of 521.4 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.06	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 6 estimated using the KocWIN model of EPISuite™ version 4.1.	0.66	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
50-32-8	Benzo(a)pyrene	0.42	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.82	Very High	This P-score is based on an aquatic environmental half-life of 147.8 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.09	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 5.3 estimated using the KocWIN model of EPISuite™ version 4.1.	0.96	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
50471-44-8	Vinclozolin	0.63	Very High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.77	Very High	This P-score is based on an aquatic environmental half-life of 121.8 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.41	High	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 2.5 estimated using the KocWIN model of EPISuite™ version 4.1.	0.78	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
51000-52-3	vinyl neodecanoate	0.22	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.09	Low to moderate	This P-score is based on an aquatic environmental half-life of 15.8 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.28	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.4 estimated using the KocWIN model of EPISuite™ version 4.1.	0.41	High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
5146-66-7	Citralva	0.30	Low to moderate	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.17	Low to moderate	This P-score is based on an aquatic environmental half-life of 23.4 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.30	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.2 estimated using the KocWIN model of EPISuite™ version 4.1.	0.56	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
5216-25-1	4-Chlorobenzotrichloride	0.49	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.86	Very High	This P-score is based on an aquatic environmental half-life of 176 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.21	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 3.9 estimated using the KocWIN model of EPISuite™ version 4.1.	0.64	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
53-70-3	Dibenz(a,h)anthracene	0.39	High	The PMT-score is based on an aggregation of the P, M and T-scores using the following formula: PMT-score = (P-score)^0.33 × (M-score)^0.33 × (T-score)^0.33.	0.85	Very High	This P-score is based on an aquatic environmental half-life of 165.4 days estimated using the BIOWIN3 model of EPISuite™ version 4.1.	0.07	Low to moderate	This M-score is based on the chemical’s organic carbon/water partition coefficient (Koc) of 5.7 estimated using the KocWIN model of EPISuite™ version 4.1.	0.96	Very High	This T-score is based on alerts for the following human health related endpoints: carcinogenicity (c), mutagenicity (m), reprotoxicity (r) and endocrine disruption. Also, structural similarity to known cmr chemicals, classification of the chemical into one of the three Cramer classes and whether the chemical is a carbamate or an organophosphate is taken into account.
